acousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness,loudness,valence,loudness_instrumentalness_diff,energy_instrumentalness_diff,danceability_energy_diff,popularity
0.458,0.662,174474,0.515,0.0,0.163,0.199,-6.867,0.386,6.867,0.515,0.14700000000000002,61
0.0503,0.561,239360,0.52,1.86e-06,0.355,0.244,-9.342,0.424,9.34200186,0.51999814,0.041000000000000036,94
0.0652,0.486,123891,0.545,0.00474,0.0642,0.0336,-7.924,0.0385,7.92874,0.5402600000000001,0.05900000000000005,87
0.00361,0.738,177789,0.666,0.0,0.107,0.455,-6.97,0.215,6.97,0.666,0.07199999999999995,82
0.0395,0.899,283196,0.582,0.0,0.1,0.264,-7.275,0.505,7.275,0.582,0.31700000000000006,79
0.337,0.851,164041,0.819,0.000153,0.0658,0.212,-5.173,0.903,5.173153,0.818847,0.03200000000000003,71
0.0127,0.908,170502,0.546,0.0,0.0707,0.323,-10.491,0.225,10.491,0.546,0.362,90
0.269,0.633,192000,0.548,0.0,0.16,0.0467,-5.634,0.35,5.634,0.548,0.08499999999999996,84
0.375,0.808,217872,0.478,0.0,0.0761,0.381,-8.63,0.335,8.63,0.478,0.33000000000000007,58
0.095,0.827,184368,0.564,0.0,0.357,0.0838,-7.967,0.781,7.967,0.564,0.263,55
0.322,0.85,160000,0.664,0.0,0.0475,0.261,-8.119,0.743,8.119,0.664,0.18599999999999994,77
0.2,0.854,208372,0.611,0.0,0.19,0.228,-6.824,0.728,6.824,0.611,0.243,73
0.221,0.829,166515,0.644,1.04e-06,0.141,0.291,-4.86,0.515,4.86000104,0.64399896,0.18499999999999994,75
0.0434,0.586,110707,0.689,0.0,0.184,0.425,-6.04,0.456,6.04,0.689,0.10299999999999998,77
0.0276,0.585,147436,0.596,0.0,0.111,0.353,-5.677,0.148,5.677,0.596,0.01100000000000001,74
0.0123,0.785,163454,0.524,0.0,0.365,0.122,-7.004,0.0855,7.004,0.524,0.261,79
0.0716,0.808,206968,0.644,0.0,0.085,0.329,-6.167,0.512,6.167,0.644,0.16400000000000003,73
0.00296,0.75,153048,0.714,0.000113,0.137,0.134,-9.032,0.254,9.032113,0.7138869999999999,0.03600000000000003,54
0.0431,0.839,180760,0.642,6.76e-05,0.148,0.0535,-5.581,0.211,5.581067600000001,0.6419324000000001,0.19699999999999995,57
0.229,0.802,154286,0.42,1.87e-05,0.299,0.13,-10.088,0.183,10.0880187,0.4199813,0.38200000000000006,71
0.0331,0.63,281985,0.505,0.0,0.0713,0.244,-4.923,0.578,4.923,0.505,0.125,72
0.115,0.884,159973,0.423,0.0,0.0895,0.275,-10.181,0.259,10.181,0.423,0.461,70
0.0166,0.701,169412,0.562,1.2e-05,0.352,0.0381,-8.915,0.354,8.915011999999999,0.561988,0.1389999999999999,71
0.0496,0.776,198722,0.557,0.0,0.112,0.545,-7.441,0.284,7.441,0.557,0.21899999999999997,78
0.0558,0.633,158168,0.478,0.0,0.202,0.044,-8.039,0.441,8.039,0.478,0.15500000000000003,74
0.0864,0.806,213206,0.64,0.0,0.201,0.317,-7.398,0.716,7.398,0.64,0.16600000000000004,79
0.0277,0.556,358000,0.873,0.0973,0.182,0.0666,-3.645,0.478,3.7423,0.7757000000000001,0.31699999999999995,49
0.101,0.847,139038,0.916,0.000766,0.118,0.222,-5.757,0.751,5.757765999999999,0.915234,0.06900000000000006,77
0.0623,0.749,242027,0.63,0.0,0.353,0.116,-6.652,0.445,6.652,0.63,0.119,90
0.0647,0.894,112000,0.458,0.0144,0.109,0.363,-12.248,0.382,12.2624,0.4436,0.436,66
0.0574,0.645,108499,0.525,0.0,0.505,0.0355,-5.399,0.238,5.399,0.525,0.12,83
0.0301,0.768,176588,0.695,0.0,0.235,0.179,-4.883,0.41,4.883,0.695,0.07300000000000006,68
0.0754,0.699,177074,0.58,0.0,0.0768,0.325,-7.05,0.596,7.05,0.58,0.119,70
0.0398,0.576,178041,0.596,0.0,0.0975,0.108,-7.774,0.338,7.774,0.596,0.020000000000000018,73
0.222,0.691,159331,0.656,0.00111,0.153,0.0679,-5.673,0.393,5.67411,0.65489,0.03499999999999992,74
0.037,0.817,166039,0.512,0.0,0.216,0.0984,-6.943,0.17,6.943,0.512,0.30499999999999994,75
0.00189,0.798,187844,0.471,0.0,0.154,0.125,-8.824,0.11,8.824,0.471,0.32700000000000007,71
0.0695,0.791,209811,0.818,0.0,0.114,0.406,-3.93,0.693,3.93,0.818,0.026999999999999913,81
0.18,0.907,199111,0.59,0.0,0.184,0.108,-6.128,0.681,6.128,0.59,0.31700000000000006,74
0.0129,0.88,165479,0.746,0.0,0.105,0.124,-3.381,0.315,3.381,0.746,0.134,68
0.0579,0.815,182533,0.742,0.0,0.345,0.245,-4.896,0.584,4.896,0.742,0.07299999999999995,73
0.145,0.855,158431,0.478,0.0,0.101,0.345,-8.31,0.536,8.31,0.478,0.377,74
0.101,0.886,136696,0.434,1.22e-06,0.297,0.403,-12.106,0.785,12.10600122,0.43399878,0.452,72
0.0502,0.599,192428,0.598,5.01e-05,0.173,0.124,-7.015,0.343,7.0150501,0.5979498999999999,0.0010000000000000009,73
0.0509,0.951,170977,0.878,1.61e-05,0.321,0.211,-2.565,0.923,2.5650161,0.8779839,0.07299999999999995,81
0.141,0.695,83200,0.555,0.826,0.11,0.0509,-8.5,0.26,9.326,0.2709999999999999,0.1399999999999999,85
0.011,0.859,214240,0.721,0.0,0.484,0.237,-3.369,0.689,3.369,0.721,0.138,73
0.24,0.773,208270,0.623,3.56e-05,0.148,0.0983,-6.53,0.528,6.530035600000001,0.6229644,0.15000000000000002,72
0.115,0.9,99283,0.509,1.67e-06,0.0937,0.257,-6.647,0.765,6.64700167,0.50899833,0.391,87
0.105,0.675,186791,0.726,0.0,0.153,0.0461,-6.459,0.671,6.459,0.726,0.050999999999999934,78
7.02e-05,0.479,183790,0.768,0.00549,0.121,0.0312,-5.204,0.576,5.20949,0.76251,0.28900000000000003,78
0.75,0.382,173534,0.408,0.0,0.127,0.0407,-7.552,0.128,7.552,0.408,0.025999999999999968,70
0.146,0.602,189780,0.796,0.0,0.125,0.0465,-5.609,0.53,5.609,0.796,0.19400000000000006,79
0.148,0.587,199040,0.632,1.01e-05,0.158,0.0311,-5.416,0.392,5.4160101,0.6319899,0.04500000000000004,72
0.0226,0.608,224427,0.745,6.47e-06,0.0942,0.0277,-4.13,0.464,4.13000647,0.74499353,0.137,80
0.0697,0.635,169760,0.866,0.0,0.0955,0.0473,-2.695,0.853,2.695,0.866,0.23099999999999998,63
0.252,0.731,157478,0.85,0.0,0.605,0.0336,-4.913,0.644,4.913,0.85,0.119,84
0.0387,0.472,169440,0.701,0.0,0.107,0.0369,-4.563,0.515,4.563,0.701,0.22899999999999998,70
0.00411,0.588,219333,0.931,0.0,0.345,0.0318,-3.925,0.625,3.925,0.931,0.3430000000000001,73
0.0998,0.655,174173,0.617,0.0,0.211,0.026,-4.716,0.734,4.716,0.617,0.038000000000000034,73
